date,addr,city,state,country
11/3/2017,Hibernia Irish Pub,Little Rock AR,AR,US
10/28/2017,The Hub,Tampa FL,FL,US
10/20/2017,Island Bar,Surfside SC,SC,US
10/19/2017,Moe’s Orig. BBQ,Georgetown SC,SC,US
10/11/2017,Hell’s Kitchen Lounge,Newark NJ,NJ,US
10/7/2017,Gerstles,Louisville KY,KY,US
10/6/2017,Tim Faulkner Gallery,Louisville KY,KY,US
10/3/2017,Boobie Trap Bar,Topeka KS,KS,US
10/1/2017,Replay Lounge,Lawrence KS,KS,US
9/30/2017,Hibernia Irish Tavern,Little Rock,AR,US
9/28/2017,Outer Range Brewery,Frisco CO,CO,US
9/27/2017,Tipsy Crow,San Diego CA,CA,US
9/22/2017,Bar 20,Los Angeles CA,CA,US
9/18/2017,The Bedroom Bar,Shoreditch,London,UK
9/17/2017,The Actress & Bishop,Birmingham,London,UK
9/15/2017,Centrala,Birmingham,London,UK
9/13/2017,The Thirsty Scholar Acoustic Set,Manchester,London,UK
9/12/2017,The Thirsty Scholar Open Mic Feature,Manchester,London,UK
9/7/2017,Road Trip at The Workshop,Shoreditch,London,UK
9/6/2017,The Alley Cat Club,Soho,London,UK
9/3/2017,MAP Studio Cafe,Kentish Town,London,UK
9/2/2017,The Bassment,Essex,London,UK
9/1/2017,Shakey's Unsigned Sessions,Saint FM Radio,London,UK
8/30/2017,The Alley Cat Club,Soho,London,UK
8/29/2017,The Boogaloo,Highgate,London,UK
8/26/2017,O2 Academy 3,Birmingham,London,UK
8/25/2017,Morso,Barnt Green,Worcestershire,UK
8/24/2017,Paradise Open Jam,London,London,UK
